제품코드,제품명,성분코드,성분명,1일최대투여량,1일최대 투여기준량,점검기준 성분함량 (총함량),급여구분,공고번호,공고일자
644701880,오젝스정(토수플록사신토실산염수화물)_(0.15g/1정),242201ATB,Tosufloxacin,토수플록사신토실산염수화물 600mg(토수플록사신 408mg),600,150,급여,20210599,2021-12-16
653500530,스피리바흡입용캡슐(티오트로퓸브롬화물수화물)_(22.5㎍/1캡슐),457301CCH,Tiotropium,티오트로퓸 18㎍,18,18,급여,20210599,2021-12-16
652606250,솔리시톨정5밀리그램(솔리페나신숙신산염)_(5mg/1정),493801ATB,Solifenacin,솔리페나신숙신산염 10mg,10,5,급여,20210599,2021-12-16
661904550,베시페나정5밀리그램(솔리페나신숙신산염)_(5mg/1정),493801ATB,Solifenacin,솔리페나신숙신산염 10mg,10,5,급여,20210599,2021-12-16
622802950,솔리페노실정5밀리그램(솔리페나신숙신산염)_(5mg/1정),493801ATB,Solifenacin,솔리페나신숙신산염 10mg,10,5,급여,20210599,2021-12-16
625201210,솔베나정5밀리그램(솔리페나신숙신산염)_(5mg/1정),493801ATB,Solifenacin,솔리페나신숙신산염 10mg,10,5,급여,20210599,2021-12-16
642803000,솔리스탑정5밀리그램(솔리페나신숙신산염)_(5mg/1정),493801ATB,Solifenacin,솔리페나신숙신산염 10mg,10,5,급여,20210599,2021-12-16
647204580,솔페리신정5밀리그램(솔리페나신숙신산염)_(5mg/1정),493801ATB,Solifenacin,솔리페나신숙신산염 10mg,10,5,급여,20210599,2021-12-16
650303790,솔리페나정5mg(솔리페나신숙신산염)_(5mg/1정),493801ATB,Solifenacin,솔리페나신숙신산염 10mg,10,5,급여,20210599,2021-12-16
647303760,씨트케어정5밀리그램(솔리페나신숙신산염)_(5mg/1정),493801ATB,Solifenacin,솔리페나신숙신산염 10mg,10,5,급여,20210599,2021-12-16
665001550,케이발린캡슐150밀리그램(프레가발린)_(0.15g/1캡슐),480402ACH,Pregabalin,프레가발린 600mg,600,150,급여,20210599,2021-12-16
657804780,프가틴캡슐150밀리그램(프레가발린)_(0.15g/1캡슐),480402ACH,Pregabalin,프레가발린 600mg,600,150,급여,20210599,2021-12-16
640902360,프랄린캡슐150밀리그램(프레가발린)_(0.15g/1캡슐),480402ACH,Pregabalin,프레가발린 600mg,600,150,급여,20210599,2021-12-16
52700440,프레스틴정5밀리그램(암로디핀베실산염)_(6.944mg/1정),107601ATB,Amlodipine,암로디핀 10mg,10,5,급여,20210599,2021-12-16
